Nombre,Comuna,Tipo,Dependencia,Latitud,Longitud
CEINSA,Puente Alto,Clínica Dental,Privado,-33.605288,-70.570507
Centro de Especialidades Odontológicas Leng,Providencia,Clínica Dental,Municipal,-33.433596,-70.617745
Centro Dental RedSalud Apoquindo,Las Condes,Clínica Dental,Privado,-33.41253,-70.540345
Centro Odontológico La Reina,La Reina,Clínica Dental,Municipal,-33.452528,-70.534632
Centro Odontológico Macul,Macul,Clínica Dental,Municipal,-33.493489,-70.614616
Vacunatorio Bio Salud,Providencia,Vacunatorio,Privado,-33.421046,-70.605136
Centro Odontologico Uno Salud Dental Chile España,Ñuñoa,Clínica Dental,Privado,-33.455283,-70.598377
Centro Odontológico Uno Salud Dental Escuela Militar,Las Condes,Clínica Dental,Privado,-33.413672,-70.582088
Centro Odontológico Uno Salud Dental Estación Central,Estación Central,Clínica Dental,Privado,-33.453415,-70.680021
Sala de procedimientos Embalse,Alhué,Vacunatorio,Privado,-34.089481,-71.187524
Centro de Salud Familiar Villa Alhué,Alhué,Centro de Salud Familiar (CESFAM),Municipal,-34.032484,-71.100076
SUR Villa Alhué,Alhué,Servicio de Urgencia Rural (SUR),Municipal,-34.032484,-71.100076
Posta de Salud Rural Aliro Cárcarmo (Lonquén),Talagante,Posta de Salud Rural (PSR),Municipal,-33.709417,-70.853672
Centro Comunitario de Salud Familiar Hacienda Alhué,Alhué,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-34.030911,-71.216833
Posta de Salud Rural Bollenar,Melipilla,Posta de Salud Rural (PSR),Municipal,-33.569087,-71.210906
Posta de Salud Rural Chorombo,Maria Pinto,Posta de Salud Rural (PSR),Municipal,-33.5036,-71.258174
Posta de Salud Rural El Asiento,Alhué,Posta de Salud Rural (PSR),Municipal,-34.032321,-71.002617
Posta de Salud Rural El Prado,San Pedro,Posta de Salud Rural (PSR),Municipal,-33.918648,-71.510128
Posta de Salud Rural Gacitúa,Isla de Maipo,Posta de Salud Rural (PSR),Municipal,-33.732562,-70.907134
Posta de Salud Rural Chada,Paine,Posta de Salud Rural (PSR),Municipal,-33.900747,-70.660518
Centro de Salud Familiar San Pedro,San Pedro,Centro de Salud Familiar (CESFAM),Municipal,-33.895313,-71.454412
SUR San Pedro,San Pedro,Servicio de Urgencia Rural (SUR),Municipal,-33.895313,-71.454412
Posta de Salud Rural Pintué,Paine,Posta de Salud Rural (PSR),Municipal,-33.88597,-70.892169
Centro de Salud Familiar Dr. Raúl Moya,Paine,Centro de Salud Familiar (CESFAM),Municipal,-33.868535,-70.747995
SUR Dr. Raúl Moya,Paine,Servicio de Urgencia Rural (SUR),Municipal,-33.868535,-70.747995
Posta de Salud Rural Abrantes,Paine,Posta de Salud Rural (PSR),Municipal,-33.85926,-70.850687
Posta de Salud Rural Rangue,Paine,Posta de Salud Rural (PSR),Municipal,-33.850752,-70.942806
Posta de Salud Rural Huelquén,Paine,Posta de Salud Rural (PSR),Municipal,-33.832761,-70.643261
Posta de Salud Rural El Volcán,San José de Maipo,Posta de Salud Rural (PSR),Municipal,-33.815235,-70.169578
Centro Asistencial AChS Paine,Paine,Centro de Salud Privado,Privado,-33.813946,-70.741044
SAPU Paine,Paine,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.813271,-70.744895
Centro de Salud Santa Catalina Salud Paine,Paine,Centro de Salud Privado,Privado,-33.812338,-70.741997
Posta de Salud Rural Valdivia de Paine,Buin,Posta de Salud Rural (PSR),Municipal,-33.811928,-70.86063
Centro de Salud Mutual CChC Paine,Paine,Centro de Salud Privado,Privado,-33.809724,-70.742149
Centro de Salud Familiar Dr. Miguel Ángel Solar (ex CESFAM Paine),Paine,Centro de Salud Familiar (CESFAM),Municipal,-33.804827,-70.741211
Posta de Salud Rural La Manga,San Pedro,Posta de Salud Rural (PSR),Municipal,-33.911087,-71.606986
Posta de Salud Rural San Gabriel,San José de Maipo,Posta de Salud Rural (PSR),Municipal,-33.783444,-70.236055
Posta de Salud Rural Viluco,Buin,Posta de Salud Rural (PSR),Municipal,-33.782229,-70.791771
Centro de Salud Familiar San Manuel,Melipilla,Centro de Salud Familiar (CESFAM),Municipal,-33.773496,-71.257568
Centro Comunitario de Salud Familiar Codigua,Melipilla,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.760078,-71.327877
Centro Comunitario de Salud Familiar Dr. Ramón Galindo,Buin,Centro Comunitario de Salud Familiar (CECOSF),Municipal,-33.75109,-70.735556
Posta de Salud Rural Las Mercedes ( Isla de Maipo ),Isla de Maipo,Posta de Salud Rural (PSR),Municipal,-33.784382,-70.886177
Centro de Salud Familiar Isla de Maipo,Isla de Maipo,Centro de Salud Familiar (CESFAM),Municipal,-33.749042,-70.903306
SUR Isla de Maipo,Isla de Maipo,Servicio de Urgencia Rural (SUR),Municipal,-33.749042,-70.903306
SAPU Isla de Maipo,Isla de Maipo,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.748954,-70.903463
SAPU Buin,Buin,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,-33.737859,-70.741169
